,# of Overlap Pathways,Family
46,80,"C19H19O8, C20H19O10"
47,3085,"C22H29O10, C22H31O11"
48,167,"C22H27O9, C22H29O10"
49,14733,"C20H27O9, C21H27O11, C21H29O12"
50,91,"C15H13O8, C16H13O10, C17H13O12"
51,161,"C15H13O8, C15H15O9"
52,7766,"C21H25O9, C21H27O10"
53,190,"C16H17O9, C16H19O10"
54,14029,"C17H19O9, C18H19O11"
55,5417,"C18H21O10, C18H23O11"
56,2523,"C19H23O8, C19H25O9, C20H25O11"
57,16743,"C21H29O10, C21H31O11"
58,5217,"C20H21O10, C21H21O12"
59,2417,"C20H25O9, C21H25O11, C21H27O12"
60,18425,"C20H25O10, C21H25O12"
61,2021,"C22H29O9, C22H31O10"
62,1231,"C20H23O9, C20H25O10"
63,291,"C18H19O8, C19H19O10"
64,229,"C20H27O8, C21H27O10, C21H29O11"
65,2448,"C20H27O8, C20H29O9"
66,7100,"C17H19O9, C17H21O10, C17H23O11"
67,2576,"C20H21O9, C21H21O11"
68,5152,"C18H17O10, C18H19O11"
69,3304,"C20H23O9, C21H23O11, C21H25O12"
70,23403,"C21H25O11, C21H27O12"
71,2715,"C21H21O10, C22H21O12"
72,6602,"C17H23O9, C18H23O11"
73,17089,"C19H25O9, C20H25O11"
74,214,"C18H21O8, C18H23O9, C18H25O10"
75,202,"C18H21O8, C18H23O9, C19H23O11"
76,1759,"C18H21O8, C19H25O9"
77,1265,"C18H21O8, C19H21O10"
78,21,"C16H13O7, C17H13O9, C18H13O11"
79,7292,"C18H23O8, C19H23O10"
80,1488,"C18H23O9, C19H23O11"
81,2658,"C21H21O11, C21H23O12"
82,5366,"C19H21O11, C19H23O12"
83,12452,"C18H25O9, C19H25O11"
84,3436,"C18H23O8, C18H25O9"
85,692,"C19H27O7, C20H27O9"
86,1392,"C18H21O9, C18H23O10"
87,4153,"C20H27O10, C21H27O12"
88,4766,"C20H25O9, C20H27O10"
89,1723,"C20H25O9, C20H27O10, C21H27O12"
90,19122,"C20H25O9, C21H25O11"
91,1576,"C19H21O9, C19H23O10"
92,5373,"C20H29O8, C21H29O10"
93,3733,"C18H19O9, C18H21O10, C19H21O12"
94,2523,"C18H19O9, C18H21O10, C18H23O11"
95,5209,"C17H21O9, C18H21O11"
96,699,"C19H27O7, C20H27O9, C20H29O10"
97,700,"C19H27O7, C20H27O9, C21H27O11"
98,1573,"C19H23O8, C19H25O9, C19H27O10"
99,1098,"C21H27O9, C21H29O10"
100,3614,"C21H27O9, C22H27O11"
101,2733,"C18H23O8, C19H23O10, C20H23O12"
102,3291,"C19H25O8, C20H25O10, C20H27O11"
103,536,"C19H25O8, C20H29O9"
104,116,"C15H11O8, C16H11O10"
105,526,"C17H23O8, C17H25O9"
106,253,"C17H23O8, C18H23O10, C18H25O11"
107,659,"C19H29O8, C20H29O10"
108,4021,"C21H25O9, C22H25O11"
109,710,"C21H27O8, C21H29O9, C21H31O10"
110,142,"C21H27O8, C21H29O9, C22H29O11"
111,412,"C21H27O8, C22H27O10, C22H29O11"
112,763,"C21H31O9, C22H31O11"
113,4478,"C18H21O9, C18H23O10, C18H25O11"
114,231,"C21H21O8, C22H21O10"
115,88,"C21H21O8, C21H23O9, C21H25O10, C21H27O11"
116,2390,"C18H25O8, C19H25O10"
117,104,"C20H17O8, C21H17O10"
118,101,"C20H17O8, C20H19O9"
119,567,"C18H27O8, C19H27O10"
120,1347,"C22H23O10, C22H25O11"
121,2492,"C18H17O10, C19H17O12"
122,525,"C19H21O8, C19H23O9, C20H23O11"
123,538,"C19H21O8, C20H21O10, C21H21O12"
124,521,"C19H21O8, C20H21O10, C20H23O11"
125,1000,"C19H21O8, C20H25O9"
126,462,"C16H21O8, C16H23O9"
127,178,"C18H23O7, C19H23O9"
128,3160,"C21H23O11, C21H25O12"
129,3130,"C21H23O9, C21H25O10, C21H27O11"
130,493,"C22H25O8, C22H27O9, C22H29O10, C22H31O11"
131,11412,"C21H25O10, C21H27O11"
132,311,"C22H27O8, C22H29O9, C22H31O10"
133,367,"C18H15O9, C18H17O10, C18H19O11"
134,822,"C18H15O9, C19H15O11"
135,174,"C17H25O8, C18H25O10"
136,1172,"C21H27O9, C21H29O10, C21H31O11"
137,614,"C17H15O10, C17H17O11"
138,337,"C15H19O8, C16H19O10"
139,239,"C15H19O8, C15H21O9"
140,119,"C15H17O7, C16H17O9, C16H19O10"
141,170,"C15H17O7, C16H17O9, C17H17O11"
142,2671,"C20H23O10, C21H23O12"
143,2992,"C20H23O10, C20H25O11"
144,2139,"C16H17O8, C17H17O10"
145,1381,"C22H25O9, C23H25O11"
146,1854,"C20H25O8, C21H25O10, C21H27O11"
147,1408,"C21H27O8, C22H27O10"
148,48,"C20H23O7, C21H23O9, C21H25O10"
149,41,"C20H23O7, C21H23O9, C22H23O11"
150,656,"C16H21O8, C17H21O10"
151,712,"C19H23O8, C20H23O10"
152,1973,"C18H15O10, C18H17O11"
153,2786,"C20H23O9, C20H25O10, C20H27O11"
154,229,"C19H17O9, C19H19O10, C20H19O12"
155,3451,"C17H17O9, C18H17O11"
156,681,"C16H17O9, C17H17O11"
157,258,"C21H19O9, C21H21O10"
158,1431,"C19H21O9, C20H21O11"
159,181,"C17H13O9, C17H15O10"
160,638,"C17H13O9, C18H13O11"
161,3027,"C17H19O10, C17H21O11"
162,2183,"C19H25O8, C20H25O10, C21H25O12"
163,69,"C17H17O7, C18H17O9"
164,341,"C15H13O9, C16H13O11"
165,161,"C20H19O9, C20H21O10, C21H21O12"
166,130,"C20H19O9, C21H19O11, C21H21O12"
167,400,"C17H15O9, C17H17O10"
168,886,"C17H15O9, C18H15O11"
169,2465,"C18H21O9, C19H21O11, C19H23O12"
170,161,"C20H21O8, C20H23O9, C20H25O10, C20H27O11"
171,67,"C20H21O8, C20H23O9, C20H25O10, C21H25O12"
172,56,"C20H21O8, C20H23O9, C21H23O11, C21H25O12"
173,56,"C20H21O8, C21H21O10, C21H23O11, C21H25O12"
174,1202,"C20H25O8, C20H27O9, C21H27O11, C21H29O12"
175,1371,"C20H25O8, C20H27O9, C20H29O10"
176,415,"C18H19O8, C19H19O10, C19H21O11, C19H23O12"
177,647,"C16H19O7, C17H19O9, C18H19O11"
178,399,"C16H19O7, C17H19O9, C17H21O10, C17H23O11"
179,1082,"C20H19O11, C20H21O12"
180,273,"C15H19O7, C16H19O9"
181,2042,"C22H25O9, C22H27O10, C22H29O11"
182,1225,"C17H21O7, C18H21O9"
183,23,"C22H21O10, C22H23O11"
184,451,"C17H19O8, C17H21O9, C17H23O10"
185,291,"C17H19O8, C17H21O9, C18H21O11"
186,501,"C17H19O8, C18H19O10, C19H19O12"
187,1130,"C17H19O8, C18H19O10, C18H21O11"
188,199,"C17H19O8, C18H23O9"
189,902,"C16H19O8, C17H23O9"
190,44,"C17H19O7, C18H19O9, C18H21O10"
191,1543,"C19H25O10, C20H25O12"
192,1131,"C18H17O9, C19H17O11"
193,565,"C18H17O9, C18H19O10"
194,835,"C17H25O7, C18H25O9"
195,666,"C19H23O8, C20H23O10, C20H25O11"
196,462,"C19H23O8, C20H23O10, C21H23O12"
197,537,"C20H23O8, C21H23O10, C21H25O11, C21H27O12"
198,786,"C20H23O8, C20H25O9, C21H25O11, C21H27O12"
199,2037,"C19H19O9, C19H21O10, C20H21O12"
200,1297,"C19H19O9, C20H19O11, C20H21O12"
201,97,"C19H13O10, C20H13O12"
202,42,"C19H13O10, C19H15O11"
203,463,"C16H23O8, C17H23O10"
204,29,"C18H23O7, C19H23O9, C20H23O11"
205,216,"C18H23O7, C19H23O9, C19H25O10"
206,1,"C19H17O8, C19H19O9, C20H19O11"
207,1,"C19H17O8, C19H19O9, C19H21O10"
208,7,"C19H17O8, C20H17O10, C21H17O12"
209,10,"C19H17O8, C20H17O10, C20H19O11"
210,2386,"C19H25O8, C19H27O9, C20H27O11"
211,1968,"C19H25O8, C19H27O9, C19H29O10"
212,1787,"C17H19O7, C18H19O9, C18H21O10, C19H21O12"
213,280,"C22H31O9, C22H33O10"
214,923,"C19H19O10, C19H21O11, C19H23O12"
215,300,"C18H17O9, C18H19O10, C18H21O11"
216,417,"C18H25O8, C18H27O9"
217,1216,"C16H19O9, C16H21O10"
218,945,"C19H23O8, C19H25O9"
219,192,"C21H25O8, C21H27O9, C21H29O10"
220,193,"C21H25O8, C21H27O9, C22H27O11"
221,808,"C20H25O8, C20H27O9, C21H27O11"
222,1887,"C18H19O9, C18H21O10"
223,537,"C17H21O7, C18H21O9, C19H25O10"
224,201,"C17H21O7, C18H21O9, C19H21O11, C19H23O12"
225,15,"C20H15O7, C21H15O9, C22H15O11, C22H17O12"
226,416,"C19H17O10, C20H17O12"
227,209,"C20H19O10, C20H21O11, C20H23O12"
228,44,"C12H9O7, C13H9O9"
229,720,"C19H17O9, C19H19O10"
230,578,"C21H21O10, C21H23O11, C21H25O12"
231,111,"C20H17O10, C20H19O11, C20H21O12"
232,1485,"C22H23O9, C23H23O11"
233,107,"C21H19O10, C21H21O11"
234,506,"C17H17O8, C17H19O9, C18H19O11"
235,271,"C17H17O8, C17H19O9, C17H21O10, C17H23O11"
236,272,"C17H17O8, C18H17O10, C18H19O11"
237,196,"C17H17O8, C18H17O10, C19H17O12"
238,456,"C15H15O8, C15H17O9"
239,690,"C20H25O8, C20H27O9"
240,1092,"C20H25O8, C21H25O10"
241,48,"C22H27O9, C22H29O10, C22H31O11"
242,112,"C22H23O9, C22H25O10, C22H27O11"
243,699,"C21H23O9, C22H23O11"
244,424,"C16H21O9, C17H21O11"
245,243,"C21H21O10, C21H23O11"
246,344,"C16H15O9, C17H15O11"
247,252,"C16H15O9, C16H17O10"
248,186,"C16H19O8, C17H19O10, C17H21O11"
249,435,"C21H21O9, C21H23O10"
250,591,"C22H23O9, C22H25O10"
251,166,"C20H23O7, C21H23O9, C21H25O10, C21H27O11"
252,197,"C16H17O7, C16H19O8"
253,82,"C16H17O7, C17H17O9, C18H17O11"
254,1175,"C21H23O9, C21H25O10"
255,161,"C18H19O8, C18H21O9"
256,146,"C19H27O8, C19H29O9"
257,143,"C19H27O8, C20H27O10"
258,364,"C17H19O9, C17H21O10"
259,1562,"C19H19O8, C20H19O10, C20H21O11, C20H23O12"
260,428,"C19H19O8, C19H21O9, C19H23O10, C19H25O11"
261,1264,"C19H19O8, C19H21O9, C19H23O10, C20H23O12"
262,639,"C19H19O8, C19H21O9, C20H21O11, C20H23O12"
263,37,"C22H29O8, C23H29O10"
264,86,"C22H29O8, C22H31O9, C22H33O10"
265,536,"C21H29O8, C22H29O10"
266,2616,"C18H21O7, C18H23O8, C19H23O10, C19H25O11"
267,2997,"C18H21O7, C18H23O8, C18H25O9, C19H25O11"
268,45,"C18H21O7, C19H21O9, C20H21O11"
269,4470,"C18H21O7, C19H21O9, C19H23O10, C19H25O11"
270,398,"C19H21O8, C19H23O9"
271,186,"C18H17O8, C19H17O10, C20H17O12"
272,27,"C20H17O11, C21H17O13"
273,598,"C17H19O8, C18H19O10"
274,589,"C23H23O10, C23H25O11"
275,67,"C15H17O7, C16H17O9"
276,463,"C19H19O10, C19H21O11"
277,150,"C14H21O7, C15H21O9"
278,496,"C16H13O10, C17H13O12"
279,1203,"C20H23O9, C20H25O10, C21H25O12"
280,1,"C11H9O6, C12H9O8"
281,62,"C15H19O7, C15H21O8"
282,20,"C18H15O8, C19H15O10, C19H17O11"
283,16,"C18H15O8, C18H17O9, C19H17O11"
284,48,"C18H11O10, C19H11O12"
285,155,"C17H23O7, C18H23O9, C18H25O10"
286,70,"C20H27O8, C20H29O9, C21H29O11"
287,740,"C18H29O8, C19H29O10"
288,732,"C21H21O9, C21H23O10, C21H25O11, C21H27O12"
289,847,"C19H19O9, C20H19O11"
290,1274,"C19H19O9, C19H21O10"
291,52,"C14H17O7, C15H17O9"
292,501,"C17H21O8, C18H21O10"
293,265,"C19H23O9, C19H25O10, C20H25O12"
294,5,"C14H7O8, C14H9O9, C15H9O11"
295,274,"C17H21O8, C18H21O10, C18H23O11"
296,280,"C17H21O8, C17H23O9, C18H23O11"
297,213,"C21H27O8, C21H29O9"
298,249,"C15H17O8, C15H19O9"
299,232,"C15H17O8, C16H17O10"
300,126,"C16H19O7, C16H21O8"
301,2,"C17H21O6, C18H21O8"
302,104,"C20H17O10, C20H19O11"
303,281,"C24H27O9, C24H29O10"
304,164,"C16H21O7, C17H21O9, C18H21O11"
305,18,"C21H27O6, C22H27O8, C23H27O10"
306,336,"C21H27O6, C22H27O8, C22H29O9, C22H31O10"
307,144,"C21H27O6, C21H29O7, C21H31O8, C22H31O10"
308,168,"C21H27O6, C21H29O7, C22H29O9, C22H31O10"
309,196,"C17H17O9, C17H19O10, C17H21O11"
310,516,"C15H15O8, C16H15O10"
311,359,"C20H15O11, C21H15O13"
312,338,"C16H19O9, C17H19O11"
313,398,"C21H31O8, C22H31O10"
314,73,"C20H25O7, C20H27O8"
315,111,"C20H25O7, C21H25O9"
316,193,"C18H15O8, C19H15O10"
317,180,"C19H15O9, C20H15O11"
318,140,"C19H15O9, C19H17O10"
319,81,"C16H17O8, C16H19O9, C16H21O10"
320,524,"C17H19O7, C18H19O9, C18H21O10, C18H23O11"
321,2823,"C18H21O7, C18H23O8, C19H23O10, C20H23O12"
322,5001,"C18H21O7, C19H21O9, C19H23O10, C20H23O12"
323,3933,"C18H21O7, C19H21O9, C20H21O11, C20H23O12"
324,881,"C18H21O8, C19H21O10, C20H21O12"
325,306,"C18H17O8, C19H17O10"
326,335,"C18H17O8, C18H19O9, C18H21O10, C19H21O12"
327,177,"C18H17O8, C18H19O9, C18H21O10, C18H23O11"
328,2,"C21H19O8, C21H21O9, C21H23O10"
329,2,"C21H19O8, C21H21O9, C22H21O11"
330,4,"C21H19O8, C22H19O10, C22H21O11"
331,27,"C16H23O7, C16H25O8"
332,719,"C22H25O9, C22H27O10"
333,8,"C21H17O9, C21H19O10, C22H19O12"
334,5,"C21H17O9, C22H17O11, C22H19O12"
335,230,"C18H19O8, C19H19O10, C19H21O11"
336,32,"C20H17O10, C21H17O12"
337,212,"C18H15O10, C19H15O12"
338,73,"C15H17O7, C15H19O8, C16H19O10"
339,149,"C18H13O10, C18H15O11"
340,19,"C22H13O11, C22H15O12"
341,69,"C16H15O7, C17H15O9, C18H15O11"
342,33,"C16H15O7, C16H17O8"
343,207,"C21H27O7, C22H27O9"
344,156,"C21H27O7, C21H29O8, C21H31O9"
345,69,"C20H17O9, C21H17O11"
346,56,"C18H13O10, C19H13O12"
347,57,"C20H21O9, C20H23O10"
348,52,"C19H15O8, C19H17O9"
349,316,"C19H21O8, C19H23O9, C19H25O10"
350,201,"C21H29O8, C21H31O9"
351,168,"C19H19O8, C20H19O10, C21H19O12"
352,111,"C18H15O9, C19H15O11, C19H17O12"
353,263,"C20H23O8, C20H25O9, C21H25O11"
354,212,"C20H23O8, C21H23O10, C21H25O11"
355,71,"C19H19O7, C20H19O9"
356,421,"C20H19O9, C20H21O10"
357,273,"C20H19O9, C21H19O11"
358,39,"C20H19O9, C20H21O10, C20H23O11"
359,151,"C16H13O8, C17H13O10"
360,16,"C14H11O6, C15H11O8"
361,25,"C16H19O8, C16H21O9"
362,158,"C15H17O7, C15H19O8, C15H21O9"
363,96,"C21H19O11, C21H21O12"
364,4,"C18H21O6, C18H23O7, C18H25O8, C19H25O10"
365,5,"C18H21O6, C18H23O7, C18H25O8, C18H27O9"
366,12,"C18H21O6, C18H23O7, C19H23O9, C20H23O11"
367,10,"C18H21O6, C18H23O7, C19H23O9, C19H25O10, C20H25O12"
368,13,"C18H21O6, C19H21O8, C19H23O9, C20H23O11"
369,12,"C18H21O6, C19H21O8, C19H23O9, C19H25O10, C20H25O12"
370,16,"C18H21O6, C19H21O8, C20H25O9"
371,13,"C18H21O6, C19H21O8, C20H21O10, C20H23O11"
372,18,"C18H21O6, C19H21O8, C20H21O10, C21H21O12"
373,87,"C17H11O11, C17H13O12"
374,96,"C15H15O7, C16H19O8"
375,6,"C15H11O7, C16H11O9"
376,14,"C15H11O7, C15H13O8, C15H15O9"
377,195,"C22H25O8, C23H25O10"
378,357,"C17H17O10, C17H19O11"
379,262,"C20H23O8, C21H23O10"
380,280,"C20H23O8, C20H25O9"
381,46,"C15H11O8, C15H13O9"
382,47,"C15H11O9, C16H11O11"
383,36,"C21H19O10, C21H21O11, C21H23O12"
384,307,"C21H19O10, C22H19O12"
385,26,"C20H21O9, C21H21O11, C21H23O12"
386,4,"C19H11O8, C20H11O10"
387,119,"C22H27O8, C23H27O10"
388,406,"C21H21O9, C22H21O11"
389,126,"C20H23O7, C20H25O8, C20H27O9, C20H29O10"
390,7,"C20H23O7, C20H25O8, C20H27O9, C21H27O11"
391,17,"C20H23O7, C21H23O9"
392,272,"C16H15O8, C17H15O10, C17H17O11"
393,67,"C16H19O7, C17H19O9"
394,215,"C22H25O8, C22H27O9"
395,56,"C17H21O6, C17H23O7"
396,252,"C19H25O8, C20H25O10"
397,62,"C13H11O7, C14H11O9"
398,59,"C13H11O7, C14H15O8"
399,28,"C16H21O7, C17H21O9"
400,265,"C19H17O9, C20H17O11"
401,43,"C16H21O6, C17H21O8, C18H21O10"
402,7,"C15H19O5, C16H19O7, C16H21O8, C16H23O9"
403,10,"C15H19O5, C16H19O7, C16H21O8, C17H21O10, C17H23O11"
404,7,"C15H19O5, C16H19O7, C17H19O9, C18H19O11"
405,7,"C15H19O5, C16H19O7, C17H19O9, C17H21O10, C17H23O11"
406,43,"C16H19O7, C16H21O8, C17H21O10"
407,100,"C20H23O8, C20H25O9, C20H27O10"
408,40,"C21H17O10, C22H17O12"
409,40,"C17H19O8, C17H21O9"
410,21,"C18H11O10, C18H13O11"
411,27,"C20H19O8, C21H19O10, C21H21O11"
412,28,"C20H19O8, C20H21O9, C21H21O11"
413,46,"C19H15O9, C20H15O11, C21H15O13"
414,17,"C14H13O6, C15H13O8, C15H15O9"
415,13,"C13H13O6, C14H13O8"
416,32,"C17H21O6, C18H21O8, C19H21O10"
417,40,"C17H21O6, C18H21O8, C19H25O9"
418,5,"C15H21O6, C16H21O8"
419,301,"C16H19O7, C16H21O8, C17H21O10, C17H23O11"
420,41,"C17H23O7, C18H23O9, C19H23O11"
421,47,"C15H13O7, C15H15O8"
422,10,"C22H21O9, C23H21O11"
423,121,"C20H29O8, C20H31O9"
424,94,"C19H17O9, C19H19O10, C19H21O11, C19H23O12"
425,50,"C19H21O8, C20H21O10"
426,88,"C20H21O8, C20H23O9, C21H23O11"
427,84,"C20H23O6, C21H23O8, C22H23O10, C22H25O11"
428,63,"C20H23O6, C21H23O8, C21H25O9, C22H25O11"
429,315,"C20H23O6, C21H23O8, C21H25O9, C21H27O10, C21H29O11"
430,9,"C20H23O6, C20H25O7, C21H25O9, C22H25O11"
431,45,"C20H23O6, C20H25O7, C21H25O9, C21H27O10, C21H29O11"
432,15,"C20H23O6, C20H25O7, C20H27O8, C21H27O10, C21H29O11"
433,20,"C20H23O6, C20H25O7, C20H27O8, C20H29O9, C21H29O11"
434,96,"C21H23O7, C22H23O9, C23H23O11"
435,30,"C20H19O8, C21H19O10"
436,47,"C21H33O8, C22H33O10"
437,37,"C21H23O8, C22H23O10"
438,172,"C21H19O9, C22H19O11"
439,91,"C16H15O8, C17H15O10"
440,11,"C16H15O6, C16H17O7, C16H19O8"
441,8,"C16H15O6, C17H15O8"
442,102,"C16H17O8, C16H19O9"
443,54,"C15H19O7, C16H19O9, C16H21O10"
444,89,"C20H21O8, C20H23O9"
445,54,"C16H13O9, C17H13O11"
446,59,"C16H13O9, C16H15O10"
447,51,"C15H13O8, C16H13O10"
448,56,"C19H15O10, C19H17O11"
449,88,"C19H15O10, C20H15O12"
450,950,"C21H31O7, C22H31O9, C22H33O10"
451,300,"C21H31O7, C21H33O8, C22H33O10"
452,84,"C22H29O8, C22H31O9"
453,307,"C17H21O8, C18H21O10, C19H21O12"
454,74,"C17H21O8, C17H23O9"
455,29,"C20H15O10, C20H17O11"
456,36,"C19H27O5, C20H27O7, C21H27O9, C22H27O11"
457,140,"C19H27O5, C20H27O7, C21H27O9, C21H29O10, C21H31O11"
458,35,"C19H27O5, C20H27O7, C20H29O8, C21H29O10, C21H31O11"
459,4,"C19H27O5, C20H27O7, C20H29O8, C20H31O9"
460,53,"C17H15O8, C17H17O9, C18H17O11"
461,41,"C17H15O8, C18H15O10, C18H17O11"
462,43,"C17H15O8, C18H15O10, C19H15O12"
463,137,"C20H21O9, C20H23O10, C20H25O11"
464,131,"C20H21O9, C20H23O10, C21H23O12"
465,67,"C17H21O7, C17H23O8, C17H25O9"
466,16,"C15H9O8, C15H11O9"
467,64,"C16H23O6, C17H23O8"
468,22,"C20H15O11, C20H17O12"
469,31,"C21H21O8, C22H21O10, C22H23O11"
470,18,"C14H11O8, C15H11O10"
471,195,"C18H21O9, C19H21O11"
472,132,"C16H21O7, C16H23O8, C17H23O10"
473,50,"C20H21O8, C20H23O9, C20H25O10"
474,10,"C16H11O9, C17H11O11"
475,117,"C17H13O10, C18H13O12"
476,28,"C17H23O8, C18H23O10"
477,90,"C20H19O8, C21H19O10, C22H19O12"
478,52,"C20H19O8, C20H21O9"
479,47,"C16H21O6, C17H21O8, C18H21O10, C18H23O11"
480,47,"C16H21O6, C17H21O8, C17H23O9, C18H23O11"
481,167,"C17H21O7, C18H21O9, C18H23O10"
482,152,"C16H19O8, C16H21O9, C17H21O11"
483,3,"C16H9O7, C17H9O9"
484,151,"C22H27O8, C22H29O9"
485,164,"C16H23O7, C17H23O9"
486,202,"C16H21O7, C17H21O9, C17H23O10"
487,11,"C14H19O7, C15H19O9"
488,23,"C14H19O7, C14H21O8"
489,32,"C17H13O8, C18H13O10, C18H15O11"
490,22,"C17H13O8, C17H15O9, C18H15O11"
491,126,"C19H19O8, C20H19O10, C20H21O11"
492,16,"C15H15O7, C16H15O9"
493,24,"C18H11O9, C18H13O10"
494,78,"C17H11O9, C18H11O11"
495,13,"C20H15O9, C20H17O10, C20H19O11"
496,16,"C20H15O9, C21H15O11"
497,27,"C16H19O7, C17H19O9, C17H21O10"
498,16,"C17H9O10, C18H9O12"
499,6,"C17H9O10, C17H11O11"
500,16,"C14H13O8, C15H13O10"
501,146,"C15H21O7, C15H23O8"
502,40,"C18H15O9, C18H17O10, C19H17O12"
503,73,"C21H25O8, C21H27O9"
504,149,"C18H19O8, C19H19O10, C20H19O12"
505,33,"C16H13O8, C16H15O9, C17H15O11"
506,13,"C16H13O8, C16H15O9, C16H17O10"
507,31,"C20H21O8, C21H21O10, C22H21O12"
508,13,"C21H15O10, C22H15O12"
509,18,"C17H11O10, C17H13O11"
510,10,"C21H15O9, C22H15O11"
511,1,"C22H17O8, C23H17O10, C23H19O11"
512,51,"C19H23O7, C20H23O9, C20H25O10"
513,70,"C15H21O8, C16H21O10"
514,5,"C18H17O8, C18H19O9, C18H21O10"
515,66,"C16H15O7, C17H15O9"
516,19,"C19H27O7, C19H29O8, C20H29O10"
517,67,"C20H27O6, C21H27O8, C21H29O9"
518,25,"C17H15O7, C17H17O8, C17H19O9, C18H19O11"
519,16,"C17H21O7, C17H23O8"
520,22,"C21H21O9, C21H23O10, C21H25O11"
521,6,"C17H17O6, C18H17O8, C19H17O10"
522,914,"C20H25O7, C21H25O9, C21H27O10, C21H29O11"
523,396,"C20H25O7, C20H27O8, C20H29O9, C21H29O11"
524,656,"C20H25O7, C20H27O8, C21H27O10, C21H29O11"
525,8,"C20H15O10, C20H17O11, C21H17O13"
526,41,"C13H9O7, C14H9O9"
527,21,"C13H9O7, C14H13O8"
528,14,"C15H13O7, C15H15O8, C16H15O10"
529,17,"C15H13O7, C15H15O8, C15H17O9"
530,28,"C15H13O7, C16H13O9, C16H15O10"
531,5,"C16H15O6, C16H17O7"
532,26,"C22H19O10, C22H21O11"
533,67,"C21H23O8, C21H25O9, C22H25O11"
534,46,"C21H23O8, C22H23O10, C22H25O11"
535,13,"C17H11O8, C18H11O10"
536,31,"C20H17O8, C20H19O9, C21H19O11"
537,14,"C20H17O8, C21H17O10, C21H19O11"
538,23,"C20H17O8, C21H17O10, C22H17O12"
539,45,"C20H29O8, C21H29O10, C21H31O11"
540,9,"C18H11O9, C18H13O10, C19H13O12"
541,34,"C17H23O6, C18H23O8, C19H23O10"
542,24,"C21H21O8, C21H23O9, C22H23O11"
543,3,"C16H21O6, C17H21O8"
544,4,"C20H25O6, C21H25O8"
545,2,"C22H27O7, C22H29O8, C23H29O10"
546,4,"C22H27O7, C22H29O8, C22H31O9, C22H33O10"
547,3,"C22H27O7, C23H27O9, C23H29O10"
548,162,"C21H23O8, C21H25O9"
549,10,"C14H19O6, C14H21O7"
550,21,"C15H9O8, C16H9O10"
551,58,"C22H23O8, C23H23O10, C23H25O11"
552,15,"C19H13O9, C19H15O10"
553,35,"C18H19O8, C18H21O9, C18H23O10, C18H25O11"
554,46,"C18H19O8, C18H21O9, C19H21O11, C19H23O12"
555,133,"C16H17O8, C17H17O10, C17H19O11"
556,2,"C24H29O8, C24H31O9"
557,19,"C16H17O7, C17H17O9"
558,6,"C17H17O8, C18H17O10"
559,15,"C17H17O8, C17H19O9, C17H21O10"
560,289,"C20H23O7, C20H25O8, C20H27O9, C21H27O11, C21H29O12"
561,139,"C20H23O7, C20H25O8, C21H25O10, C21H27O11"
562,14,"C18H23O6, C18H25O7, C18H27O8, C19H27O10"
563,14,"C18H23O6, C18H25O7, C19H25O9, C19H27O10"
564,32,"C18H23O6, C18H25O7, C19H25O9, C20H25O11"
565,28,"C18H23O6, C19H23O8, C20H23O10, C21H23O12"
566,24,"C18H23O6, C19H23O8, C20H23O10, C20H25O11"
