,# of Overlap Pathways,Family
0,48926,"C19H23O10, C19H25O11"
1,82466,"C19H23O10, C20H23O12"
2,17596,"C22H27O10, C22H29O11"
3,3170,"C18H23O9, C18H25O10"
4,430,"C20H23O8, C21H23O10, C22H27O11"
5,882,"C20H23O8, C20H25O9, C20H27O10, C21H27O12"
6,11389,"C19H25O9, C19H27O10"
7,3368,"C19H21O9, C20H21O11, C20H23O12"
8,4147,"C19H21O9, C19H23O10, C20H23O12"
9,2971,"C19H21O9, C19H23O10, C19H25O11"
10,5141,"C21H29O9, C21H31O10"
11,10429,"C21H23O10, C22H27O11"
12,5400,"C16H21O8, C17H21O10, C17H23O11"
13,8747,"C21H29O9, C22H29O11"
14,7533,"C19H23O9, C19H25O10"
15,9784,"C20H21O10, C20H23O11"
16,2805,"C21H25O9, C21H27O10, C21H29O11"
17,16394,"C20H25O10, C20H27O11"
18,11062,"C19H27O9, C20H27O11"
19,8089,"C19H27O9, C19H29O10"
20,45269,"C21H27O11, C21H29O12"
21,3283,"C20H29O9, C21H29O11"
22,12590,"C20H21O11, C20H23O12"
23,10704,"C22H25O10, C22H27O11"
24,68,"C19H23O7, C20H23O9"
25,10741,"C18H21O10, C19H21O12"
26,14168,"C21H23O10, C21H25O11"
27,3634,"C21H23O10, C21H25O11, C21H27O12"
28,34508,"C17H21O10, C17H23O11"
29,9647,"C19H23O9, C20H23O11"
30,6623,"C18H21O9, C19H25O10"
31,901,"C21H25O8, C22H25O10"
32,44938,"C20H27O9, C21H27O11"
33,19750,"C20H27O9, C20H29O10"
34,2799,"C18H23O8, C19H23O10, C19H25O11"
35,2193,"C18H23O8, C18H25O9, C19H25O11"
36,13480,"C21H27O10, C21H29O11"
37,3006,"C17H21O9, C17H23O10"
38,2096,"C18H19O10, C19H19O12"
39,1567,"C19H19O10, C20H19O12"
40,17524,"C19H21O10, C20H21O12"
41,12890,"C18H23O10, C18H25O11"
42,8655,"C18H19O10, C18H21O11"
43,3046,"C20H27O8, C21H27O10"
44,4338,"C20H23O9, C21H23O11"
45,539,"C19H19O8, C20H23O9"
