,# of Overlap Pathways,Family
139,828,"C20H25O9, C21H25O11"
140,880,"C15H15O9, C15H17O10"
141,1269,"C16H21O9, C17H21O11"
142,1040,"C14H17O7, C15H17O9"
143,1384,"C19H25O11, C20H25O13"
144,5783,"C18H17O10, C19H17O12"
145,831,"C18H23O10, C19H23O12"
146,1612,"C17H19O8, C18H19O10, C18H21O11"
147,1364,"C18H15O9, C19H15O11"
148,218,"C17H11O11, C18H11O13"
149,198,"C14H11O8, C15H15O9"
150,167,"C14H11O8, C15H11O10"
151,2582,"C18H15O10, C18H17O11"
152,3727,"C15H15O10, C16H15O12"
153,64,"C16H15O11, C16H17O12"
154,623,"C16H9O12, C16H11O13"
155,541,"C19H13O11, C19H15O12"
156,183,"C17H13O12, C18H13O14"
157,739,"C15H21O8, C16H21O10"
158,302,"C16H13O10, C17H13O12, C17H15O13"
159,330,"C18H19O10, C18H21O11, C19H21O13"
160,224,"C16H15O10, C17H15O12, C18H15O14"
161,763,"C15H11O9, C16H11O11"
162,1198,"C19H21O10, C19H23O11"
163,2354,"C18H21O9, C18H23O10"
164,1072,"C17H17O11, C18H21O12"
165,3,"C20H27O9, C20H29O10"
166,568,"C19H19O11, C19H21O12"
167,600,"C20H15O10, C21H15O12"
168,2676,"C18H23O9, C19H23O11"
169,966,"C15H11O11, C16H11O13"
170,2240,"C19H23O9, C20H23O11"
171,1753,"C19H23O9, C19H25O10"
172,1458,"C20H25O11, C20H27O12"
173,1820,"C19H23O11, C19H25O12"
174,1349,"C17H17O9, C18H17O11, C19H21O12"
175,1174,"C17H19O8, C18H19O10, C19H19O12"
176,1167,"C15H17O10, C15H19O11"
177,226,"C19H19O9, C20H19O11, C20H21O12"
178,84,"C19H19O9, C19H21O10, C19H23O11, C19H25O12"
179,182,"C19H19O9, C19H21O10, C20H21O12"
180,194,"C17H21O9, C18H21O11, C19H21O13"
181,680,"C19H15O11, C20H19O12"
182,973,"C19H15O11, C20H15O13"
183,834,"C19H19O9, C20H19O11"
184,690,"C15H15O9, C16H19O10"
185,44,"C20H11O10, C20H13O11"
186,2337,"C14H15O9, C15H15O11"
187,411,"C17H17O8, C18H17O10, C19H17O12"
188,1550,"C18H13O11, C19H13O13"
189,76,"C14H13O7, C15H13O9"
190,138,"C18H11O11, C18H13O12"
191,160,"C17H23O9, C18H23O11"
192,1154,"C18H15O10, C19H15O12"
193,103,"C15H11O10, C15H13O11, C16H13O13"
194,88,"C20H23O10, C20H25O11, C20H27O12"
195,579,"C16H17O8, C17H17O10, C18H21O11"
196,994,"C16H17O8, C17H17O10, C18H17O12"
197,225,"C18H17O9, C18H19O10, C19H19O12"
198,208,"C18H17O9, C19H17O11, C19H19O12"
199,309,"C18H15O10, C18H17O11, C19H17O13"
200,373,"C18H15O10, C19H15O12, C19H17O13"
