,# of Overlap Pathways,Family
139,631,"C15H13O8, C16H13O10, C17H13O12, C18H17O13"
140,910,"C15H13O8, C16H13O10, C17H17O11, C18H17O13"
141,16442,"C20H19O11, C20H21O12"
142,3600,"C20H19O11, C21H23O12"
143,603,"C16H17O7, C17H17O9, C18H17O11, C19H17O13"
144,807,"C16H13O10, C17H13O12, C18H17O13"
145,22575,"C18H17O10, C19H17O12"
146,2626,"C18H13O11, C19H13O13, C19H15O14"
147,3661,"C17H21O8, C18H21O10"
148,1679,"C17H19O8, C18H19O10"
149,3036,"C18H19O10, C19H23O11"
150,14454,"C19H19O11, C19H21O12"
151,4319,"C17H17O10, C18H21O11"
152,1169,"C20H25O8, C21H25O10, C21H27O11"
153,5265,"C21H23O11, C21H25O12"
154,13993,"C18H15O10, C19H19O11, C20H19O13"
155,18419,"C18H15O10, C19H15O12, C19H17O13"
156,381985,"C18H15O10, C19H15O12, C20H19O13"
157,3553,"C20H25O9, C21H25O11, C21H27O12"
158,14259,"C19H15O10, C19H17O11, C20H17O13"
159,14443,"C19H15O10, C20H15O12, C20H17O13"
160,3190,"C16H21O9, C17H21O11"
161,306,"C16H15O9, C16H17O10"
162,5912,"C17H21O9, C18H25O10"
163,10671,"C17H21O9, C18H21O11"
164,6023,"C17H21O9, C17H23O10"
165,6635,"C20H21O11, C21H25O12"
166,19844,"C19H21O9, C20H21O11, C21H25O12"
167,19822,"C20H25O10, C21H29O11"
168,20119,"C20H25O10, C21H25O12"
169,3042,"C20H23O9, C21H23O11, C21H25O12"
170,114,"C20H23O9, C20H25O10, C21H25O12"
171,9952,"C16H17O10, C17H17O12"
172,998,"C18H15O11, C18H17O12, C18H19O13"
173,8238,"C18H15O11, C19H19O12"
174,3951,"C18H19O11, C18H21O12"
175,696,"C18H19O11, C19H23O12"
176,121,"C16H13O9, C16H15O10"
177,2269,"C16H13O9, C17H13O11, C18H17O12"
178,2224,"C16H13O9, C17H13O11, C18H13O13"
179,1147,"C16H13O9, C17H17O10, C18H17O12"
180,118,"C15H13O8, C15H15O9, C16H15O11, C16H17O12"
181,116,"C15H13O8, C15H15O9, C16H15O11, C17H15O13"
182,121,"C15H13O8, C16H13O10, C17H17O11"
183,133,"C15H13O8, C16H13O10, C16H15O11, C16H17O12"
184,101,"C15H13O8, C16H17O9, C17H17O11"
185,9227,"C21H15O12, C21H17O13"
186,192,"C17H13O8, C18H17O9, C19H17O11, C20H17O13"
187,506,"C17H13O8, C18H17O9, C19H17O11, C19H19O12, C19H21O13"
188,166,"C17H13O8, C18H17O9, C19H17O11, C20H21O12"
189,75,"C17H13O8, C17H15O9"
190,15129,"C19H17O10, C19H19O11, C20H19O13"
191,1035,"C19H15O10, C20H19O11"
192,8550,"C19H21O9, C20H21O11, C20H23O12"
193,7483,"C18H13O11, C18H15O12"
194,4062,"C18H13O11, C19H13O13"
195,851,"C15H19O8, C16H19O10"
196,835,"C15H19O8, C16H23O9"
197,181940,"C18H19O9, C19H19O11, C20H23O12"
198,110773,"C18H19O9, C19H19O11, C20H19O13"
199,7379,"C20H25O9, C21H25O11"
200,11821,"C19H25O10, C20H25O12"
201,99,"C15H13O9, C15H15O10, C16H15O12"
202,274,"C15H13O9, C16H17O10, C17H17O12"
203,5324,"C21H27O9, C22H27O11"
204,6664,"C20H21O11, C20H23O12"
205,793,"C13H11O8, C14H11O10"
206,1439,"C17H21O10, C18H21O12"
207,3726,"C21H25O9, C22H25O11"
208,2635,"C19H21O10, C19H23O11"
209,6181,"C19H23O9, C20H23O11"
210,2621,"C18H17O10, C18H19O11, C19H19O13"
211,348,"C13H11O9, C14H15O10"
212,6514,"C19H15O10, C19H17O11, C20H21O12"
213,5556,"C19H15O10, C20H19O11, C20H21O12"
214,1521,"C18H11O12, C18H13O13"
215,797,"C17H11O12, C18H15O13"
216,2679,"C15H11O10, C16H11O12"
217,2101,"C17H21O8, C18H21O10, C19H21O12"
218,537,"C17H21O8, C18H21O10, C19H25O11"
219,2191,"C22H19O11, C22H21O12"
220,3569,"C18H13O10, C19H17O11, C20H17O13"
221,1395,"C18H13O10, C19H13O12, C20H17O13"
222,1203,"C18H13O10, C19H13O12, C20H13O14"
223,2095,"C18H13O10, C19H13O12, C19H15O13"
224,4522,"C15H15O10, C16H15O12"
225,1340,"C16H13O9, C17H13O11, C17H15O12"
226,1224,"C16H13O9, C16H15O10, C17H15O12"
227,3698,"C20H21O9, C21H21O11"
228,1116,"C21H19O10, C21H21O11"
229,1977,"C21H19O10, C22H23O11"
230,3346,"C21H19O10, C22H19O12"
231,4573,"C18H13O11, C18H15O12, C18H17O13"
232,542,"C19H19O9, C19H21O10, C20H21O12"
233,8642,"C20H19O10, C21H23O11"
234,8778,"C20H19O10, C21H19O12"
235,60,"C15H21O7, C16H21O9, C17H21O11"
236,8367,"C20H15O11, C20H17O12, C20H19O13"
237,782,"C18H17O10, C18H19O11, C18H21O12"
238,325,"C15H11O11, C16H15O12"
239,1151,"C19H21O9, C20H25O10, C21H29O11"
240,1354,"C19H21O9, C20H25O10, C21H25O12"
241,15220,"C18H21O9, C19H21O11, C20H25O12"
242,1467,"C15H15O8, C16H15O10"
243,2835,"C18H19O8, C19H19O10, C20H23O11"
244,3016,"C18H19O8, C19H19O10, C19H21O11, C20H21O13"
245,57307,"C18H19O8, C19H19O10, C20H19O12, C20H21O13"
246,877,"C19H21O9, C20H25O10"
247,1960,"C15H13O9, C16H13O11, C17H13O13"
248,1585,"C21H13O12, C21H15O13"
249,434,"C20H27O8, C21H27O10, C21H29O11"
250,4553,"C21H21O10, C22H25O11"
251,997,"C21H21O10, C21H23O11"
252,691,"C20H23O10, C20H25O11"
253,2569,"C20H21O9, C20H23O10, C21H23O12"
254,3033,"C20H21O9, C21H25O10"
255,364,"C14H11O10, C15H11O12"
256,526,"C15H13O10, C15H15O11"
257,3336,"C21H27O10, C21H29O11"
258,6036,"C18H15O12, C18H17O13"
259,5460,"C17H15O9, C18H15O11, C18H17O12, C19H17O14"
260,6831,"C17H15O9, C18H15O11, C19H19O12"
261,6600,"C17H15O9, C18H15O11, C19H15O13, C19H17O14"
262,1089,"C21H15O11, C21H17O12"
263,5378,"C19H17O10, C19H19O11, C19H21O12"
264,831,"C15H21O8, C16H21O10"
265,2112,"C18H21O9, C18H23O10"
266,2059,"C15H11O8, C16H11O10, C17H15O11, C18H15O13"
267,417,"C15H11O8, C16H11O10, C16H13O11, C17H13O13"
268,547,"C15H11O8, C16H11O10, C17H11O12, C17H13O13"
269,593,"C15H11O8, C16H11O10, C17H11O12, C18H15O13"
270,207,"C15H11O8, C16H15O9, C17H15O11, C17H17O12"
271,1394,"C15H11O8, C16H15O9, C17H15O11, C18H15O13"
272,45,"C15H11O8, C16H15O9, C16H17O10, C16H19O11"
273,36,"C15H11O8, C16H15O9, C16H17O10, C17H17O12"
274,310,"C15H11O8, C15H13O9, C16H13O11, C17H13O13"
275,186,"C15H11O8, C15H13O9, C16H13O11, C17H17O12"
276,228,"C15H11O8, C15H13O9, C16H13O11, C16H15O12"
277,30,"C15H11O8, C15H13O9, C15H15O10, C16H15O12"
278,32,"C15H11O8, C15H13O9, C16H17O10, C17H17O12"
279,3357,"C20H23O9, C21H23O11"
280,1925,"C17H17O9, C18H21O10"
281,1765,"C16H11O10, C17H11O12, C17H13O13"
282,1604,"C16H11O10, C17H11O12, C18H15O13"
283,1201,"C21H15O11, C22H19O12"
284,514,"C13H13O9, C14H13O11"
285,288,"C18H15O9, C18H17O10, C19H17O12"
286,2961,"C18H11O11, C19H15O12, C19H17O13"
287,3385,"C18H11O11, C18H13O12, C19H17O13"
288,377,"C22H21O10, C23H25O11"
289,794,"C22H21O10, C22H23O11"
290,5196,"C18H21O9, C19H21O11, C20H21O13"
291,1913,"C20H13O11, C21H13O13"
292,2069,"C20H13O11, C20H15O12"
293,488,"C15H13O8, C16H17O9, C17H17O11, C18H17O13"
294,296,"C15H13O8, C16H17O9, C17H17O11, C18H21O12"
295,864,"C19H19O9, C20H23O10"
296,4542,"C19H15O11, C19H17O12, C19H19O13"
297,1383,"C17H15O10, C18H19O11, C19H19O13"
298,187,"C18H21O8, C19H25O9"
299,1046,"C18H21O8, C19H21O10, C20H21O12"
300,4182,"C17H11O11, C18H11O13"
301,4225,"C17H11O11, C18H15O12, C19H15O14"
302,190,"C19H19O9, C20H19O11"
303,1159,"C20H17O10, C21H21O11"
304,1049,"C20H17O10, C20H19O11"
305,1190,"C14H17O8, C15H21O9"
306,3213,"C19H13O13, C19H15O14"
307,959,"C22H27O10, C22H29O11"
308,5945,"C17H15O11, C18H19O12"
309,1487,"C17H15O10, C18H15O12, C18H17O13"
310,756,"C17H15O10, C17H17O11, C18H17O13"
311,204,"C14H13O10, C15H13O12"
312,526,"C14H15O8, C14H17O9"
313,1063,"C14H15O8, C15H19O9"
314,463,"C15H15O10, C15H17O11"
315,976,"C20H27O8, C21H27O10"
316,10812,"C17H17O10, C18H17O12, C19H21O13"
317,1066,"C14H15O9, C15H15O11"
318,65,"C17H15O9, C18H19O10"
319,588,"C17H13O9, C17H15O10, C18H15O12, C19H19O13"
320,500,"C17H13O9, C17H15O10, C18H15O12, C19H15O14"
321,523,"C17H13O9, C17H15O10, C18H15O12, C18H17O13"
322,781,"C17H13O9, C18H17O10, C19H17O12, C20H21O13"
323,1496,"C17H13O9, C18H17O10, C19H17O12, C19H19O13"
324,1795,"C17H13O9, C18H13O11, C19H13O13, C19H15O14"
325,1235,"C17H13O9, C18H13O11, C18H15O12, C18H17O13"
326,1366,"C17H13O9, C18H13O11, C18H15O12, C19H15O14"
327,1145,"C17H13O9, C18H13O11, C19H17O12"
328,56,"C14H11O9, C15H15O10"
329,5676,"C19H15O11, C20H19O12, C20H21O13"
330,149,"C15H19O8, C15H21O9"
331,1194,"C16H19O10, C17H19O12"
332,1197,"C20H21O9, C20H23O10"
333,936,"C14H13O9, C15H13O11"
334,7245,"C18H13O12, C19H17O13"
335,3339,"C16H13O10, C17H17O11"
336,1188,"C18H17O11, C18H19O12"
337,864,"C21H21O11, C21H23O12"
338,2720,"C19H15O11, C19H17O12, C20H21O13"
339,1820,"C19H23O10, C19H25O11"
340,4178,"C17H19O8, C18H19O10, C19H19O12, C19H21O13"
341,309,"C17H19O8, C18H19O10, C19H23O11"
342,1352,"C16H15O9, C17H15O11, C17H17O12"
343,196,"C18H15O10, C18H17O11"
344,2965,"C20H27O9, C21H27O11"
345,938,"C21H25O9, C22H29O10"
346,3088,"C19H15O10, C19H17O11, C19H19O12"
347,1579,"C14H13O8, C15H13O10, C16H13O12"
348,271,"C17H11O11, C18H15O12"
349,233,"C14H13O9, C14H15O10"
350,3545,"C18H15O10, C18H17O11, C19H17O13"
351,429,"C18H15O10, C18H17O11, C18H19O12"
352,385,"C16H13O10, C16H15O11"
353,1829,"C16H15O11, C17H15O13"
354,657,"C19H15O9, C20H15O11, C21H15O13"
355,666,"C19H15O9, C20H15O11, C21H19O12"
356,466,"C19H15O9, C20H15O11, C20H17O12"
357,805,"C16H13O10, C17H17O11, C18H17O13"
358,3436,"C19H21O10, C20H25O11"
359,1209,"C20H13O11, C21H17O12"
360,396,"C13H9O9, C14H9O11"
361,32,"C20H21O9, C20H23O10, C20H25O11"
362,2832,"C19H13O11, C20H17O12, C20H19O13"
363,30,"C19H13O9, C20H17O10, C21H17O12"
364,322,"C19H13O9, C20H13O11, C20H15O12"
365,310,"C19H13O9, C20H13O11, C21H17O12"
366,303,"C19H13O9, C20H13O11, C21H13O13"
367,110,"C19H13O9, C19H15O10, C20H15O12"
368,26,"C19H13O9, C19H15O10, C19H17O11, C20H21O12"
369,100,"C14H11O9, C14H13O10"
370,389,"C14H17O9, C15H17O11"
371,547,"C17H19O9, C18H19O11"
372,84,"C18H15O9, C19H15O11, C20H19O12"
373,1066,"C18H15O9, C19H15O11, C20H15O13"
374,45,"C18H15O9, C19H15O11, C19H17O12"
375,1116,"C17H15O10, C18H15O12"
376,1646,"C21H17O10, C21H19O11"
377,1572,"C21H17O10, C22H17O12"
378,342,"C21H17O10, C22H21O11"
379,76,"C19H17O8, C20H17O10, C21H17O12"
380,58,"C19H17O8, C20H17O10, C21H21O11"
381,22,"C19H17O8, C20H17O10, C20H19O11, C20H21O12"
382,15,"C19H17O8, C19H19O9, C20H19O11, C20H21O12"
383,7,"C19H17O8, C19H19O9, C20H19O11, C21H23O12"
384,73,"C16H15O7, C17H19O8, C18H19O10, C19H19O12"
385,3514,"C16H15O7, C17H15O9, C18H15O11, C19H15O13, C19H17O14"
386,1738,"C16H15O7, C17H15O9, C18H15O11, C18H17O12, C19H17O14"
387,1219,"C16H15O7, C17H15O9, C18H15O11, C19H19O12"
388,180,"C16H15O7, C17H15O9, C18H19O10, C19H19O12"
389,161,"C16H15O9, C17H19O10"
390,785,"C15H9O10, C16H9O12"
391,378,"C19H23O9, C19H25O10"
392,3171,"C18H11O11, C18H13O12"
393,4461,"C18H11O11, C19H11O13"
394,1034,"C14H17O8, C15H17O10"
395,122,"C18H11O10, C19H15O11, C20H15O13"
396,95,"C18H11O10, C18H13O11, C19H13O13"
397,90,"C18H11O10, C18H13O11, C18H15O12"
398,184,"C18H11O10, C19H11O12, C19H13O13"
399,519,"C16H17O9, C17H17O11, C17H19O12"
400,5444,"C18H17O10, C19H21O11"
401,800,"C20H23O8, C21H23O10, C21H25O11, C21H27O12"
402,1164,"C20H23O8, C21H23O10, C22H27O11"
403,1063,"C20H13O12, C21H17O13"
404,1209,"C21H25O8, C22H25O10"
405,468,"C15H15O9, C16H19O10"
406,1541,"C20H17O11, C20H19O12, C20H21O13"
407,566,"C16H17O8, C17H17O10, C18H21O11"
408,24582,"C16H17O8, C17H17O10, C18H17O12, C19H21O13"
409,728,"C16H17O8, C17H17O10, C17H19O11"
410,128,"C16H17O8, C17H21O9, C18H21O11"
411,153,"C16H17O8, C16H19O9, C17H19O11"
412,277,"C21H13O11, C21H15O12"
413,1499,"C21H29O8, C22H29O10"
414,1179,"C18H19O8, C19H23O9, C20H23O11, C20H25O12"
415,141,"C14H13O8, C15H13O10, C16H17O11"
416,1028,"C14H13O8, C15H13O10, C15H15O11"
417,2891,"C17H13O10, C17H15O11, C18H15O13"
418,1748,"C17H13O10, C18H17O11, C19H17O13"
419,5309,"C17H13O10, C18H13O12, C19H17O13"
420,6985,"C17H13O10, C18H13O12, C18H15O13"
421,4,"C13H17O6, C14H17O8"
422,185,"C16H17O9, C16H19O10"
423,1202,"C16H11O10, C17H15O11, C18H15O13"
424,2091,"C19H13O11, C19H15O12, C19H17O13"
425,2225,"C19H13O11, C19H15O12, C20H19O13"
426,1398,"C15H11O10, C15H13O11"
427,182,"C16H13O10, C16H15O11, C16H17O12"
428,1344,"C18H21O10, C19H25O11"
429,778,"C18H21O10, C18H23O11"
430,4278,"C19H13O11, C20H13O13"
431,1193,"C17H15O9, C18H19O10, C19H19O12"
432,513,"C15H15O8, C16H15O10, C17H19O11"
433,334,"C15H15O8, C16H15O10, C17H15O12"
434,645,"C18H21O9, C19H21O11"
435,269,"C17H11O11, C17H13O12, C18H13O14"
436,252,"C14H11O8, C15H11O10"
437,118,"C14H11O8, C14H13O9"
438,223,"C14H11O8, C15H15O9"
439,370,"C14H15O10, C15H15O12"
440,425,"C14H17O8, C14H19O9"
441,364,"C15H9O10, C16H13O11, C17H13O13"
442,990,"C15H17O7, C16H17O9, C17H17O11"
443,470,"C15H17O7, C16H17O9, C16H19O10"
444,86,"C13H7O9, C14H11O10"
445,215,"C20H21O10, C20H23O11, C20H25O12"
446,336,"C13H13O9, C14H17O10"
447,1666,"C18H15O10, C19H19O11"
448,773,"C19H17O9, C20H21O10"
449,1507,"C19H17O9, C20H17O11, C20H19O12"
450,929,"C15H11O9, C16H11O11, C17H11O13"
451,58047,"C19H23O8, C20H23O10, C21H23O12"
452,98807,"C19H23O8, C20H23O10, C21H27O11"
453,815,"C17H25O9, C18H25O11"
454,643,"C21H19O10, C21H21O11, C21H23O12"
455,1278,"C17H15O11, C17H17O12"
456,519,"C20H11O12, C20H13O13"
457,5193,"C16H15O7, C17H15O9, C18H19O10, C19H19O12, C19H21O13"
458,184,"C16H15O7, C17H15O9, C17H17O10, C17H19O11"
459,1136,"C16H15O7, C17H15O9, C17H17O10, C18H17O12, C19H21O13"
460,374,"C15H9O10, C15H11O11"
461,14325,"C18H17O9, C19H17O11, C20H21O12"
462,14770,"C18H17O9, C19H17O11, C20H17O13"
463,12,"C18H17O9, C18H19O10"
464,349,"C18H17O9, C19H21O10, C20H21O12"
465,2239,"C19H13O11, C19H15O12"
466,3352,"C19H13O11, C20H17O12"
467,727,"C17H13O10, C18H13O12"
468,1132,"C17H19O9, C18H19O11, C19H23O12"
469,2519,"C17H15O9, C18H19O10, C19H19O12, C19H21O13"
470,1017,"C15H15O10, C16H19O11"
471,1421,"C16H17O9, C17H17O11, C18H17O13"
472,369,"C18H13O10, C19H17O11, C19H19O12"
473,133,"C16H11O10, C17H15O11"
474,2310,"C20H19O9, C21H19O11, C21H21O12"
475,567,"C20H19O9, C21H23O10"
476,893,"C20H19O9, C20H21O10, C21H21O12"
