,# of Overlap Pathways,Family
133,37474,"C16H15O11, C17H15O13, C17H17O14"
134,66217,"C16H13O11, C17H13O13, C18H13O15"
135,31557,"C16H13O11, C17H17O12"
136,18133,"C19H11O12, C20H15O13"
137,32232,"C19H11O12, C20H11O14"
138,15065,"C19H11O12, C19H13O13"
139,2567,"C13H13O10, C14H13O12"
140,3173,"C17H21O8, C18H21O10, C19H21O12, C20H25O13"
141,65452,"C18H13O12, C19H17O13"
142,410,"C19H17O8, C20H21O9, C21H21O11, C21H23O12"
143,12288,"C16H11O12, C17H15O13"
144,12640,"C16H11O12, C16H13O13"
145,12115,"C16H19O8, C17H19O10, C18H19O12, C18H21O13"
146,35451,"C16H19O8, C17H19O10, C18H19O12, C19H19O14"
147,347778,"C20H21O10, C21H21O12"
148,57915,"C16H17O10, C17H17O12, C18H17O14"
149,284980,"C18H19O12, C18H21O13"
150,1844,"C15H11O9, C16H11O11, C17H15O12"
151,2012,"C15H11O9, C16H11O11, C17H11O13, C17H13O14"
152,81768,"C19H13O12, C20H17O13"
153,30398,"C19H13O12, C19H15O13"
154,121249,"C18H23O9, C19H23O11, C20H23O13"
155,42240,"C15H13O11, C16H13O13"
156,157179,"C17H13O12, C18H17O13"
157,73785,"C18H15O11, C19H19O12"
158,41333,"C21H25O9, C22H25O11"
159,9341,"C15H15O9, C16H15O11, C17H15O13, C17H17O14"
160,2866,"C15H15O9, C16H15O11, C16H17O12, C17H17O14"
161,41983,"C18H21O10, C19H21O12"
162,196691,"C16H19O11, C17H19O13"
163,140112,"C18H13O12, C19H13O14"
164,107266,"C16H19O10, C17H19O12"
165,5168,"C19H25O8, C20H25O10"
166,96971,"C20H17O12, C20H19O13"
167,106756,"C21H25O11, C21H27O12"
168,74378,"C21H19O10, C22H19O12"
169,95527,"C18H17O12, C19H21O13"
170,27423,"C18H19O11, C19H19O13"
171,28694,"C16H13O12, C16H15O13"
172,66390,"C16H13O12, C17H13O14"
173,41907,"C16H13O12, C17H17O13"
174,15104,"C19H15O11, C20H19O12, C20H21O13"
175,15134,"C19H15O11, C19H17O12, C20H21O13"
